date,section,exports,imports
2004-09-01,6,3431.915364,4076.948466
2004-09-01,7,24072.494632,21685.296015
2004-09-01,8,3777.826091,2232.657902
2004-09-01,9,569.047882,1104.276834
2004-09-01,overall,44450.311537,37635.523962
2004-10-01,0,934.018181,1518.507087
2004-10-01,1,156.807813,139.466091
2004-10-01,2,1144.591853,847.630597
2004-10-01,3,5359.104547,2363.092747
2004-10-01,4,2450.850001,199.725655
2004-10-01,5,2448.18411,2876.243557
2004-10-01,6,3431.432321,3790.21588
2004-10-01,7,23877.603483,21147.042415
2004-10-01,8,3730.347458,2120.739441
2004-10-01,9,595.426176,1028.530524
2004-10-01,overall,44128.365943,36031.193994
2004-11-01,0,796.465584,1322.851799
2004-11-01,1,133.774982,145.22301
2004-11-01,2,903.655468,703.661403
2004-11-01,3,5293.669258,2272.087801
2004-11-01,4,2147.659322,144.661412
2004-11-01,5,2393.703691,2831.339304
2004-11-01,6,2870.550318,3773.792299
2004-11-01,7,20453.708704,18872.366097
2004-11-01,8,3117.666577,1804.244461
2004-11-01,9,630.679819,899.303292
2004-11-01,overall,38741.533723,32769.530878
2004-12-01,0,940.201831,1516.207549
2004-12-01,1,187.077229,171.584977
2004-12-01,2,1149.583872,1039.662986
2004-12-01,3,5638.046382,2743.655368
2004-12-01,4,2210.549708,216.489548
2004-12-01,5,2380.22904,2939.734617
2004-12-01,6,3386.055505,4105.92271
2004-12-01,7,23319.886859,21172.47433
2004-12-01,8,3671.329336,2018.851652
2004-12-01,9,712.798879,1027.983204
2004-12-01,overall,43595.758641,36952.566941
2005-01-01,0,788.861275,1529.79419
2005-01-01,1,150.089998,161.791975
2005-01-01,2,1048.181046,680.067919
2005-01-01,3,5309.253984,2464.632538
2005-01-01,4,1977.781692,151.67021
2005-01-01,5,2414.038394,2607.364128
2005-01-01,6,2812.050505,3657.266275
2005-01-01,7,20730.332766,17478.475209
2005-01-01,8,3356.282447,1617.359596
2005-01-01,9,618.936823,897.365947
2005-01-01,overall,39205.80893,31245.787987
2005-02-01,0,721.091699,1140.178872
2005-02-01,1,105.10496,94.604447
2005-02-01,2,916.562834,825.927148
2005-02-01,3,4819.221845,2252.27938
2005-02-01,4,1696.436111,152.237352
2005-02-01,5,2444.808902,2507.166471
2005-02-01,6,2904.230702,3440.531964
2005-02-01,7,19613.116221,16738.231491
2005-02-01,8,3037.587897,1514.25802
2005-02-01,9,566.643789,794.397713
2005-02-01,overall,36824.80496,29459.812857999998
